Record No.,Inventory No.,Archive Name,Archive Call Number,Archive Type,Date of Appraisal,Owner Last Name,Inv. City,Inv. Count,Inv. Country,Art Value,Inv. Value,Owner Life Dates,Marriage Date,Ceremony,Additional Names,Owner Full Name,Sex,Notary,Occupation,Purpose,Religion,Residence,Biographical Notes,Intro Text
1018,1123,,"NA 694B, omslag 59, film 4980",Notarial,1633/11/26,Godijn,Amsterdam,98,Nederland,4711 |d  14 stuivers,,1561 |d 1633,1602/08/24,,,"Godijn, Samuel",M,J. Warnaerts,Merchant (largescale),death inventory,Reformed,On the East side of the Keysersgracht in Amsterdam,"Samuel Godijn (Godin)  (1561-1633)  was a wealthy merchant, originally from Southern Netherlands, who was related by marriage with several prominent families in Dordrecht, Middelburg, and Amsterdam. His parents are tentatively identified as Jean Godin and Barba Vivien (see below). He first settled in Bremen and was first noted in Amsterdam in 1604 (Gelderblom, Zuid-Nederlandse kooplieden, p. 302). Together with his brother  Daniel Godijn, cited in the above INTRO and noted below, he invested 3,000 f. in the first subscription for V.O.C. shares in 1602 (Van Dillen, Het oudste aandeelhoudersregister). On 30 October 1613, he had various goods sold by the Orphan Chamber, including a number of moderately priced paintings without titles (INVNO 902). He freighted a ship to Oporto in Portugal  on 4 May 1616 (with Jan Stassaert and Gillis Dodeur of R 29979 of Montias2). In the late 1620s, when a controversy arose within the W.I.C. as to whether the emphasis of the company's activities should be placed on the expansion of trade or the acquisition of further colonies, Samuel Godijn was one of four merchants -- the others were Samuel Bloemmaert of R 21578, Allert Coenradsz. Burgh, and Kilian van Rensselaer -- who opted for further colonisation (Jaarboek C.B.G. 50(1996), p. 113). In 1632 he was said to be participating in a colony, presumably in Brasil, with Mathijs van Ceulen (of INVNO 165).  On 24 August 1602, Samuel Godijn  married Anneken Anselmo in Bremen, born in Antwerp on 8 July 1583. She was the daughter of Anthonis Anselmo and of Janneken Hooftman (Jaarboek C.B.G. 36(1982), p. 114). A portrait of Antonio Anselmo and of his wife Johanna Hooftman with two of their children, presently in the Brussels Museum voor Schoone Kunsten, where it is attributed to Marten de Vos, is recorded in the present inventory (R 41304 of Montias2).   On 14 October 1616, Samuel Godin and his wife  Anne Anselmo had their daughter Maria baptized in the Wa. K. in the presence of Jean Fauconnier (of INVNO 243) and Marie Godin (DTB 130/36). Maria Godin is probably identical with the woman of that name, married to Thomas le Carlier, whose daughter Rachel le Carlier was the first wife of Jacques Schott, cited above (Elias, Vroedschap, p. 579).  On 2 January 1619, they had their son Loijs baptized in the same church in the presence of Symon (Jacobsz.)  van der Does and Marie Angele Anselmo (DTB 130/79). Symon Jacobsz. van der Does, secretary of the Assurantie Kamer, was married to Beatrix Anselmo, the sister of Anne Anselmo. Samuel Godijn's daughter Cecilia married Hendrick Trip (of R 24909 of Montias2) of Dordrecht, 28 years old, on 31 March 1633 (DTB 440/216). Cecilia died in 1633.  Another daughter, named Johanna, married Jacob Trip, the brother of Hendrick Trip, on 14 February 1634 (Elias, Vroedschap, pp. 548-9). Daniel Godijn, born about 1576, the son of Jean Godin and Barba Vivien,  was married to Sara Dragon (DTB 130/160 and Jaarboek C.B.G. 19(1965), p. 182). In view of the presence in the present inventory of a portrait of the late Jan Godijn (R 41292 of Montias2), it appears very likely that Daniel was Samuel's brother and that the late Samuel Godijn (or Godin) was also the son of Jean Godin and Barba Vivien. Hendrick Trip, cited in the INTRO, born in Dordrecht (1607-1666), was a wealthy trader in armaments and a buyer at Orphan Chamber auction  (see the NOTES to R 24909 of Montias2). On 20 September 1633, Samuel Godijn and Juffr. Anna Ancelmo Anthonis signed a codicil to their testament dated 13 August 1608. Each son stood to inherit 2,000 f. before the division of the estate. His heirs were his son-in-law Hendrick Trip and his wife Cecilia Godin, and his sons  Samuel Godijn de jonge (who would inherit 20 morgen in Beemster) and Philips Godijn, whose inheritance would depend on his comportment. He made bequests to the French (Reformed) community of 50 pounds Fl. and 100 f. to Do. Bassecour, the dienaer of that community (NA 694B, film 4980, Not. J. Warnaerts).","Inventaris ende taxatie van den huysraet, clederen ende andere goederen bevonden in't sterfhuys van saliger Samuel Godijn gestaen binnen deeser stede Amsterdamme op de Oost zyde van de Keysersgraft getaxeert ende gepriseert by Aeltgen Claes ende Engeltie Jacobs, gesworen schatsers die daerinne verklaren oprecht ... gehandelt te hebben, synde de selve goederen als volcht. Postscript: Aldus gewaerdeert ende gepriseert door de  voorn. personen [Lucas Luce ende David Colyn] ten overstaen van Daniel Godin ende Hendrick Trip, Beschreven by mij Jan Warnaerts openbaer notaris .... ten versoecke van de voors. Daniel Godin ende Hendrick Trip testamentaire vooghden .... van de voors. Samuel Godin ... den 24, 25, 26en november 1633 in Amsterdam."
1021,1246,,NA 694B,Notarial,1634/10/01,Claesz.,Amsterdam,14,Nederland,154 |t gulden 10 stuivers,,,,,"at the request of Willem Cornelisz., tinsmith","Claesz., Gerrit",M,J. Warnaerts,"Services |a Broker, factor",evaluation of inheritance left by broker,,Amsterdam,"Neither the late Gerrit Claesz., nor his heirs, the children of Hillegond Jans and of  Thys Thysz. nor the tinsmith Willem Cornelisz., the guardian of these children,  have been identified. One woman named Hillegond Jans was the godmother of Claesgen Gerrits, the wife of Symon Symonsz., ropemaker, of R 32504 of Montias2.","Eersten october 1634, Compareerden ter presencie etc.. Davidt Colyns ende Nicolaes Elias, beijde overlijden vant schildersgilde binnen deser stadt ende verclaerden dat sy ten versoecke van Willem Cornelisz., tinnegieter, voocht van de kinderen van Hilegont Jans ende van Thys Thysz., erfgenamen van Gerrit Claesz., in syn leven maeckelaer alhier, ge[examin?]eert ende getaxeert hebben de selfs achtergelaten schilderyen de welcke naer voorgaende besichtinge der selve naer haer beste wetenschap geestimeert hebben waerdich te sijn als volcht. Postscript: Gedaen binne Amsterdam ter presentie van Eduardo Pels, mede notaris publicus ende Jan Claesz. van Schellingerhout ald getuijgen."
1027,1132,,"NA 695A, film 4981",Notarial,1635/06/15,Cobbaut,Amsterdam,50,Nederland,,,1555 |d 1634,,,and his wife Anna van Valckenburgh,"Cobbaut, Arnout (II)",B,J. Warnaerts,Merchant (largescale),death inventory,Reformed,In de Niewe Hoogstraet in Het Vergulde Hert in Amsterdam,"Arnout Cobbaut de jonge (II), the son of Arnout Cobbaut I, was born in Oudenaarde (Flanders)  about 1555. He was married to Anna van Valckenburg, daughter of Jan van Valckenburg of R 31706 of Montias2. It was apparently Arnout Cobbaut II who bought lots in the Haarlem lottery of 1606, at which time he was already living in the Vergulde Hart in the Warmoesstraet (he must have kept the name of the house when he moved to the Nieuwe Hoochstraet soon thereafter). On 22 April 1610, his son Arnout Cobbaut III was betrothed to Anna Cruijpenninck, at which time he  was called Arnout Cobbaut de jonge (DTB 414/285). This is confusing because when Arnout Cobbaut, clearly the second of this name since he was said to be living in the Nieuwe Hoochstraet, bought a lot at the Rauwart sale of 1612 (at which time his son of the same name was still alive), he was also called de jonge. Arnout Cobbaut III died in 1616 (INVNO 542). Arnout Cobbaut II invested 20,350 f. in the second subscription for V.O.C. shares in 1612  (Van Dillen, Het oudste aandeelhoudersregister, p. 259). Also in 1612, Arnout Cobbaut de jonge (probably II),   merchant in Amsterdam, sold several lots in the drying up and damning of the Beemster (NA 128, Extracten). On 22 January 1613, Arnout Cobbaut de jonge (probably II, but possibly III) declared at the request of Jan Benninck Koeckebacker that he had sold to Lenart Ranst a share for 300 Fl. Pounds in the V.O.C (Van Dillen, Economisch-historisch Jaarboek 16(1930), p. 131). Portraits of Arnout Cobbaut II and his wife Anna van Valckenburgh are preserved in the Utrecht Centraal Museum. The other children of Arnout Cobbaut II were: Sara, married to Balthasar Visscher (of R 20375 of Montias2); Judith, married to the sugar confectioner  Hans (or Jean)  de l'Hommel; Susanna Cobbaut, married to Pieter Stas; Anna Cobbaut, married first to Michiel van Verbeecke and, after his death, to Gillis Smissaert (of R 30704 of Montias2); Elisabeth Cobbaut, married to Pieter de Schilder (of R 27188 of Montias2); Barbara Cobbaut, married first to Balthasar van der Veecke and, after his death, with Toussain Blanche (of INVNO 1191); and Gillis Cobbaut, innocent (retarded). Arnout Cobbaut II passed his testament on 12 January 1634, leaving most of his estate to the children of the late Judith Cobbaut (NA 409, film 4787).","Inventaris van de ... huysraet, schilderijen bevonden int sterfhuys van Sr. Arnout Cobbaut ende Juffr. Anna van Valckenburgh in tyden echteluyden bevonden in haer sterffhuijs staende binnen dese stede Amsterdam in de Niewe Hoogstraet genaemt Het Vergulde Hert, synde als volcht. Postscript: Aldus beschreven ten vyfthiende juny xvi C vijff en dertich ten versoecke van dese .... binnen deser stede: Juffr. Cobbaut, weduwe van Pieter Stas, ... alhier, ende d'eersame Balthasar de Visscher, coopman alhier vor hemselff ende [crossed out: als vader ende vooght van Anna Blanche geteelt by Barbara Cobbaut] voor Johannes Cobbaut noch voor de wesen van Josina de l'Hommel, geteelt by Judith Cobbaut, Pieter de Schilder ende Balthasar de Visscher, alle de erffgenamen van de voors. overledene ... by my Jan Warnaerts, openbaer notaris tot Amsterdam residerende by de Hove van Hollandt geadmitteert. [Note: The list of heirs is difficult to make out because of repeated crossings and interlinings]."
1028,1133,,"NA 695A, film 4981, fol. 313-314vo",Notarial,1636/01/29,Hellincx,Amsterdam,30,Nederland,831 |d ,,1610/11/14 |d 1636,1635/01/23,K,late wife of Jan Looten,"Hellincx, Elisabeth",F,Jan Warnaerts,Merchant (largescale),death inventory,Reformed,Amsterdam,"Elisabeth Hellincx, daughter of Jan Hellincx (of R 36235) and of Gertruyd Hudde, was baptized in the N.K.  on 14 November 1610 (DTB 39/235). On 23 January 1635, she was betrothed to Johannes (or Jan) Looten, born on 1 October 1612 (died 10 May 1676). He was the son of Charles Looten, born in Brugge in 1575, who died in Amsterdam on 1 October 1652. Charles Looten was associated in business with Jacob Quina of R 30652 of Montias2. Johannes Looten lived on the Heeregracht, near the Bergstraet in den Moor. He was taxed on a fortune of 400,000 f. in 1674. He became Dijkgraaf of the Beemster in 1664 and Lieutenant of the civil militia in 1661. On 25 October 1625, Johannes Looten and Elijsabet Hellings had their daughter Geertruijt baptized in the O.K. in the presence of Charles Looten (Johannes's father), Marija de Hem, and  Clara Nijs (the mother of Gertruyd Hudde) (DTB 7/62). On 27 April 1635, Joannes Looten, as the husband of Elisabeth Hellings, stated in a deposition that Hendrick and Gerrit Hudde and Isaack Moors (of R 26927 of Montias2)  were the guardians of his wife (NA 598, fol.1).  After the death of Elisabeth Hellincx, who was buried on 10 November 1635, Looten  remarried with Appolonia Selijns, daughter of Willem Jansz.  Selijns on 28 October 1642 (Elias, Vroedschap, p.708). Pieter de Haer, who estimated the silverwork, is the buyer of R 21042. For Jan Looten's death inventory of 10 May 1676, see INVNO 286.","Inventaris ende taxatie van den huysraet, meubelen, clederen ende jeuwelen nagelaten ende metter doot ontruijmt by d'eerbare Juff. Elisabeth Hellincx, huysvrou van d'eersame Johannes Looten bevonden in haer sterfhuys .... de huysraet, lywaet ende schilderijen [sijn geschat] door Aeltgen Claes and Metgen Henricx gesworene schatsers .. het silver door Pieter de Haer goutsmit ... de welcke verclarden sonder eenigh fraude gehandelt te  hebben. Postscript: Aldus beschreven ten versoecke van Jan Looten by my Jan Warnaerts ten 28en, 29en January 1636."
1029,1134,,"NA 695A, omslag 73, fol. 440-441, film 4981",Notarial,1636/07/,Ansloo,Amsterdam,,Nederland,,,? |d 1635,,,,"Ansloo, Claes Claessen (I)",M,,"Retail merchant |a Cloth, silk",death inventory,probably Mennonite,Op de Heeregracht naest den hoeck van de zuytzyde van de   Heerestraet in Amsterdam,"There is considerable difficulty distinguishing the various members of the Anslo(o) family (Mennonites). The late  owner of the goods in this inventory would seem to be Claes Claesz. Ansloo de oude (I),  who was married to Giert Jans. The following extract from the codicil to the will of Giert Jans, widow of Claes Claesz. Ansloo de oude, helps to unravel some of these relations. According to a document cited below, Giert Jans was born about 1561.  In her codicil, dated approximately 18 April 1633, Giert Jans ordained that her son Claes Claesz. Ansloo de jonge (II) should inherit the house on the Nieuwen Dijck on the North corner of the Oude Bruggesteech, called de Goude Candelaer and that her other son Cornelis Claesz. Ansloo, should inherit the house next to it, called de Kalckoen Haen. Jacob van Davelaer signed as witness (NA 595, fol. 547, Not. Lamberti). On 25 October 1633, Jan Barentsz., bed seller in the Colcxsteech, named his wife Femmetgen Maertens to appear before the aldermen and there to acknowledge a debt of 2,000 f. at 5 percent interest from Geert Jans, widow of Claes Claesz. Ansloo (NA 694B, film 4980, Not. J. Warnaerts). Cornelis Claesz. Anslo(o) I, the famous teacher of the Mennonite community portrayed in etching by Rembrandt in 1640 and 1642, was the brother of Claes Claesz. Ansloo de oude (I).   On 28 September 1635, Geert Jans, widow of Claes Claesz. Ansloo de oude, 74, declared at the request of Hestertgen Willems (van Nieuwkerck),  formerly married to Reyer Claesz. Ansloo (her son), that Joris Samuelsz. had worked many years in the cloth shop (of Claes Claesz. Ansloo) (NA 695A, film 4981). Reyer Claesz. Anslo was a poet. He was a friend of the painter Abraham van den Tempel and a member of the Waterland Community of Mennonites. On 22 May 1647, he obtained a venia aetatis (majority age, even though he has less than 25) so that he could start a textile business with his older  brother Nicolaes (Wijnman, it den kring van Rembrandt and Vondel, p.58). On 14 August 1636, Rycken Reyers, 12, daughter of Reyer van Ansloo, merchant on the Heeregracht, passed her testament. She named her mother Hester Willems as her universal heir (NA 315, fol. 77). It was almost certainly the same Claes Claesz. Ansloo I, living along the Cingel (the old Heeregracht), who paid a tax of 100 f. in 1631 (Kohier, fol. 113vo, p. 27). On 5 October 1630, Joris Cornelisz., lumber dealer in Emden, declared at the request of the honorable Claes Claesz. Ansloo (probably I) and Cornelis Claesz. Ansloo (I)  that he had gone to Vrieslandt in 1625 to collect money for the two petitioners from Bruyn Jansz., cloth dealer (NA 847). On 19 February 1637, Jan Claesz. Ansloo, 32, declared at the request of Gierte Jans (his mother), widow of Claes Claesz. Ansloo, that he, Jan Claesz., had lived in the house 't gulde Schilt on the Nieuwen Dijck  during his father's life (NA 598, fol. 108). Cornelis Claesz. Anslo(o) II was baptized as an adult in the Remonstrant Church on 6 May 1638. He married Aeltje Gerrits Schouten. The poet and textile merchant  Reyer Claesz. Ansloo (Rijke Ansloo), died before 28 September 1631 when his widow Hester Willems van Nieuwkerck remarried with Jan Rodenburgh, widower of Annetge Cornelis van Hemert. If  Jan Claesz. Ansloo who declared that some of the goods in the present  inventory belonged to him was also a son of Claes Claesz. Ansloo I, it is curious that he was not cited in Giert Jans's testament. Jan Claesz. Ansloo, born about 1605, married Fockeltge Pieters van Hoorn of R 25490 of Montias2 on 17 January 1627, and was buried on 5 January 1647. He was a cloth merchant on the Nieuwen Dijck in 't vergulde Schilt (probably the same house formerly known as de Kalckoen Haen)  (Elias, Vroedschap, p. 449). Joost Claesz. Ansloo, born about 1590 may have been another son of Claes Claesz. Ansloo I and Giert Jans. He was a  cloth seller on the Nieuwen Dijck (waerdijn of the cloth trade in 1634); he married Lijsbet Gerrits Hooft on 4 July 1616. After her death he remarried with Niesje Lamberts Schouten, the daughter of Lambert Cornelisz. Schouten (cited in the NOTES of R 347 of  Montias1) and of Christine Matthijs Meijninga, on 10 February 1618 (Jaarboek C.B.G. 35(1981), p. 100). Their daughter Lysbeth married Arent Dircksz. van den Bosch of R 8246.  On other members of the Anslo(o) family, see the TEXT to R 13.","Inventaris van de goederen ende huysraet metter doot ontruymt by Claes Claessen Ansloo in sijn leven coopman binnen Amsterdamme, bevonden in desselfs huyse gestaen op de Heeregracht naest den hoeck van zuytzyde van de Heerestraet, synde de selve sulkx als volght. Postscript: Nota Bene: Jan Claesz. Ansloo verclaert dat in de kelder onder den huyse van Sr. Jacques Bomslager 5 grote copjes gember, item onder hem Jan Claesz. is noch in den boel competerende ...."
1030,1135,,"NA 563A, fil 6544",Notarial,1631/04/13,Appelman,Amsterdam,34,Nederland,,,? |d 1631,,,,"Appelman, Sijmen",M,Jacob Westfrisius,,death inventory,probably Remonstrant,On the East side of the Breestraet in Amsterdam,"The address of the late Sijmen Appelman is taken from the 1631 Kohier. He paid a tax of 75 f. together with his swager (N.N. Stock ?) and lived on the East side of the Breestraet, beneath the Sluijs. Simon Appelman signed the Remonstrant petition of 1611. He was the son of Balthasar Simonsz. Appelman, who was a member of the Amsterdam Vroedschap  from 1578 to 1602 and the brother of Sijbrand Appelman (1573-1602). Simon Appelman, born in 1572, married Annetge Claes Trebijn, daughter of Claes Trebijn and of Niesge Sijbrands Appelman in April 1600. Appelman was the brother-in-law of Hendrick Helt, substitue schout, but through what marriage is not known.  He was buried on 22 November 1630 (Elias, Vroedschap, p. 70).","Inventaris ofte specificatie van de imboel ende huysraet achtergelaten bij wijlen Sijmen Appelman ... opt requisitie van Hendrick Helt gesubst. schout ende swager van de voors. overleden. Synde bevonden als volcht. Postscript: Aldus gedaen ende inventariseert ten huyse van den overleden ter presentie van de kinderen, erffgenamen van den selven overleden, opten 13e aprilis anno 1631."
1031,1136,,"NA 563A, fol. 26 and foll.",Notarial,1632/07/24,Schein,Amsterdam,62,Nederland,,,1605 |d ?,1627/04/01,K,,"Schein, Laurens",M,J. Westfrisius,Retail merchant |a Textiles,unknown,Lutheran,Amsterdam,"On 1 April 1627, Laurens Schein (signs Lauwerens Schijn), from Acken, 22, ironmonger, living in the Warmoesstraat, was betrothed to Josina Halsthont, from The Hague (DTB 432/118). Laurens Schein, who was Lutheran, signed the Remonstrant petition of 1628. Even though he gave his occupation as ironmonger when he was betrothed in 1627, the present inventory, which contained canvas, English damast, silk and other textiles, suggests that he had become a textile merchant. on 8 November 1633, he was living in Haarlem, when he promised to deliver a painting called Gevecht potten (the battle of the pots) for 50 f. (Bredius in Oud Holland 11(1893), p. 96, no archival source cited). This painting may be identical with Gevecht boeren (lot 0012 in the present inventory).","Inventaris van den imboel ende huysraet toebehorende Laurens Schein beschreven door my Jacob Westfrisius Not. Pub. op requisitie van den selven Lambert (sic) Schein en de curateurs van de nagelaten boedel van Mathijs van Elen, het alles sonder perversie van de requiranten ... synde den selven boel bevonden als volcht. Postscript: Aldus gedaen ende geinventariseert ten overstaen van den voorn. Lauwerens Schein, Sr. Jan Steur, Nicolaes Cocquis, Ghisbert van Waerlen and Willem Jansen waghdrager opten 24 julij 1632."
1032,1137,,"NA 563A, fol. 54 and foll.",Notarial,1634/04/29,Berrewijns,Amsterdam,,Nederland,,,? |d c. 1634,,,,"Berrewijns, Barbara",F,,,death inventory,,South side of Lelijgracht in Amsterdam,"Barbara Berrewijns, living on the South side of the Lelijgracht, paid a tax of 185 f. in 1631 (Kohier, fol. 304, p. 69). She was the widow of Pieter Boudart, who is perhaps identical with Pieter Boddart of INVNO 586 who died about 1626. In that case she would have been his second wife (he is known to have married Maria Bave in 1610). Barbara Berrewijns may have been the daughter of Bernard Berrewins (of R 29783 of Montias2) and the sister of Sara Berrewijns of INVNO 1181, of Maria Berwijns, married to Stevn Pinel (of INVNO 715),  and of Cornelia Berwijns, married to Pieter Rombout.  Jan Wijs (of R 25596), who supervised the inventory, was the son of Sara Berwijns.   Among the assets of the estate: an obligation in the names of Ferdinandus and Frederick Schuylenburgh (of R 25764 and R 34736 of Montias2) for 1,842 f. 15 st. 8 pen.","Staet en inventaris van den boedel ende goederen van sal. Barbara Berrewijns, de weduwe was van Pieter Boudart ... op requisitie van Nicolaes Cocquis ten overstaen van den selven, item Jan Wijs ende des overledens suster Juffr. [left blank] Berrewijns. No postscript in microfilm."
1044,1257,,"NA 695A, omslag 71, fol. 308-9",Notarial,1636/01/24,Lovelde,Amsterdam,,Nederland,,,,,,,"Lovelde, Hans van",M,,,death inventory,,Op de zuijtsyde van de Blomgracht daer Loosveld wthanght in Amsterdam,"The members of the late Hans van Lovelde's family called themselves alternatively Loosvelt (see the NOTES to R 19997). Abraham van Lovelde or Loosvelt of R 19997 of Montias2, at whose request the inventory was taken, was a merchant and sugar refiner  frequently encountered in contemporary notarial acts. Hans van Lovelde, who may have been his brother, is unknown.","Inventaris van de goederen en nalatenschap van Hans van Lovelde by hem metter doot ontruijmt, bevonden in dit huys gestaen op de zuijtzyde van de Blomgracht daer Loosveld wthanght, synde de selve sulcx als volcht. Postscript: Aldus beschreven ten versoecke van Abraham van Lovelde ten overstaen van de selve by my Jan Warnaertsoon ter presentie van Eduard Pels ... den 24 january 1636 in Amsterdam. Signed: Abraham van Lovelde."
1050,769,,"NA 483, film 6484, fol. 348 and foll.",Notarial,1636/03/05,Clapmus,Amsterdam,32,Nederland,,,1584 |d 1629/11/06  |n Clapmus; 1587 |d 1634/09/27  |n Lysbeth Jans,1613/01/27,P,and his wife Lysbeth Jans Groenewegen,"Clapmus, Cornelis Dircksz.",B,Palm Mathijs,Manufacturer |a Other,death inventory,Roman Catholic,On the West side of the Nieuwen Dijck near the Haarlemmersluijs on the corner of the Malle Franssteech,"The sailmaker Cornelis Dircksz. Clapmus (or Clapmuts),was born in 1584, the son of the sailmaker Dirck IJsbrantsen Clapmuts and of Aechje Adriaens. He was buried on 6 November 1629.  His wife Lijsbet Jans van Groenewegen, with whom he was betrothed on 27 January 1613, was born in 1587. She was the daughter of Jan Huych Wollebrantsznzn., lumber merchant, and of Lijsbet Claes (whose portrait appears in the inventory). Lijsbet Claes died in Amsterdam between August 1607 and June 1608. Lijsbet Jans  was buried in Amsterdam on 27 September 1634. The bells were rung for her funeral (Roman Catholic). She was the sister of Mary Jans Groenewegen, cited in the INTRO, and, presumably, of Anne Jans Groenewegen, at whose request the goods in INVNO 1017 were sold. Finally, there was a woman named Aefje Jans Groenewegen who was married to the broker Salomon Pietersz. Reus (DTB 671/78). All three may have been daughters of Jan Groenwegen, merchant in Amsterdam, who sold armaments and gun powder to load on a ship sailing to Guinea in 1594 (Economisch-Historisch Jaarboek 2(1916), p.245). Cornelis Dircksz.  Clapmuts and Lijsbet Jans lived on the Nieuwen Dijck, on the Western corner of the Clapmutssteechje in het rood Schaeckbort, which corresponds to the above address. In 1631, Cornelis Dircxz., living on the West side of the Nieuwen Dijck, paid a tax of 15 f. (Kohier, fol. 58vo, p. 19). He must have died before 24 March 1633, when his widow, Lysbeth Jans, and  Dirck Wolphertsz. Persijn, married to Diewer Dircx (the presumed sister of Cornelis Dircx) made a declaration concerning the inheritance (NA 595, fol. 13, Not. Lamberti).  The present  inventory was drawn up after the death of Lijsbeth Jans. Note that various altaer goet were included in the inventory, which suggests, as Dudok van Heel pointed out, that meetings of Catholics took place in the house.  The house het Roode Schaeckbort was sold on 24 January 1641 for 12,400 f. The sellers stipulated that they could take with them a painting of Rebecca (not cited in the inventory) which stood in the binnecamer downstairs (S.A.C. Dudok van Heel, Twee figuren teveel, De familie Cat en hun memorietafel uit 1517, Jaarbooek C.B.G 50(1996), pp. 221-222.) For the inventory of Cornelia Pieters Clapmuts, who was probably related to Cornelis Dircksz. Clapmuts, see INVNO 769. One of the two witnesses to the inventory was Cornelis Joppen, the father of the painter Claes Moyaert of R 8397.","Inventaris van de goederen die Cornelis Dirxz. Clapmus in sijn leven seijlmaecker ende Lijsbeth Jans  Groenewegen sijn huijsvrouw nagelaten hebben, geinventariseert door mij ondergeschreven Notaris ... ten bijwesen van Jan Hendricksz. als oom ende Mary Jans Groenewegen als petemoeij over de kinderen bij de voorn. Cornelis Dirxz. Clapmus ende Lysbeth Jans tesamen geprocreert met naemen Jan Cornelisz., Aechie Cornelis, Cornelis Cornelisz., Dirckgen Cornelis Clapmus. Postscript: Gedaen ten overstaen van Mr. Adriaen Roest Advocaet ende Cornelis Joppen als getuijge. The inventary was signed by Jan Cornelisz. Clapmuts."
1051,501,,"NA 483, film 6484, fol. 417 and foll.",Notarial,1638/06/01,Buys,Amsterdam,19,Nederland,,,? |d 1638,,,,"Buys, Pauwels (de oude)",M,Palm Mathijs,Merchant (largescale),death inventory,Reformed,Amsterdam,"The owner of the goods in this inventory was Pauwels Buys I, who had migrated to Amsterdam from Antwerp in 1587. He is likely to have been a buyer at auction in 1619 (R 20405 of Montias2). The later (1621 to 1626) purchases by Paulus Buys are believed to have been effected by his son the painter  Paulus Buys de jonge (1590 to c. 1656), cited in the INTRO (see also the NOTES to R 23234 of Montias2). Abraham Buys, also cited in the INTRO, was the son of Paulus Buys I. He was married to Sara Flines, who seems to have been the daughter of Gysbert de Flines (both also cited). The latter is identical with Gilbert de Flines II (1588-1654) of Montias2 (the father of Gilbert de Flines III of INVNO 446)  On 10 January 1639, Guiljam Basse, silk dyer, 69 (of R 31003 of Montias2) declared at the request of Hans Biermans that, in 1606, he had bought a house near the Rouen Poort from Paulus Buys, merchant, who in turn had bought it from Jan Londerseel (the engraver) (NA 921, Not. B. J. Verbeeck). Hans Biermans, married to Susanna Conincx, was the brother-in-law of the painter Salomon Coninck (see R 20534 of Montia2).   In 1614 Paulus Buys I constituted himself surety for the painter David Vinckboons when the latter bought a house in Amsterdam.  Originally a silk weaver, he had become a broker by 1625 (Briels, Vlaamse schilders, p. 308). Jacob Abrahamsz. Greven was the son of  Abraham Jacobsz. Greven, who became insolvent in 1660 (DBK 5072/367 and INVNO 884).","Inventaris van den goederen die Pauwels Buys metter doot ontruymt ende nagelaten heeft, geinventariseert ten versoecke van Jacob Abrahamsz. Greven  als testamentaire voocht gestelt by de selve Buys, vervangende Francois Kerson ende Matheus Hansz. als mede voogden gestelt, Sara de Flines, weduwe van Abraham Buys, die de soon was van de selve Pauwels Buys, ... kinderen by de selve Abraham Buys geprocreert ten overstaen van Pauwels Buys de jonge ende Gysbert de Flines als opsichters. Postscript: Alles geinventariseert den eersten junij 1638. Signed: Jacob Abrahamsz. Greven, Guilbert de Flines, Paulus Paulsz. Buys, Susanna Buijs, and Teunis Lambertsz."
